store_id,store_name,store_type,location,website_url,item_id,item_name,clothing_type,price,product_url,image_url,average_rating,review_count
1,Target,Big Box Retail,"South Burlington, VT",https://www.target.com,1,Target Classic Cotton T-Shirt,T-Shirt,15.74,https://www.target.com/s?searchTerm=Classic+Cotton+T-Shirt,https://placehold.co/600x800/EDE7FF/4F46E5?text=Target+Classic+Cotton+T-Shirt,4.0,3
1,Target,Big Box Retail,"South Burlington, VT",https://www.target.com,2,Target Graphic Tee,T-Shirt,21.24,https://www.target.com/s?searchTerm=Graphic+Tee,https://placehold.co/600x800/EDE7FF/4F46E5?text=Target+Graphic+Tee,4.0,3
1,Target,Big Box Retail,"South Burlington, VT",https://www.target.com,3,Target Pullover Hoodie,Hoodie,41.86,https://www.target.com/s?searchTerm=Pullover+Hoodie,https://placehold.co/600x800/EDE7FF/4F46E5?text=Target+Pullover+Hoodie,4.0,3
1,Target,Big Box Retail,"South Burlington, VT",https://www.target.com,4,Target Crewneck Sweatshirt,Sweatshirt,41.49,https://www.target.com/s?searchTerm=Crewneck+Sweatshirt,https://placehold.co/600x800/EDE7FF/4F46E5?text=Target+Crewneck+Sweatshirt,4.0,3
1,Target,Big Box Retail,"South Burlington, VT",https://www.target.com,5,Target Straight-Leg Jeans,Jeans,67.49,https://www.target.com/s?searchTerm=Straight-Leg+Jeans,https://placehold.co/600x800/EDE7FF/4F46E5?text=Target+Straight-Leg+Jeans,4.0,3
1,Target,Big Box Retail,"South Burlington, VT",https://www.target.com,6,Target Slim Chino Pants,Pants,66.99,https://www.target.com/s?searchTerm=Slim+Chino+Pants,https://placehold.co/600x800/EDE7FF/4F46E5?text=Target+Slim+Chino+Pants,4.0,3
1,Target,Big Box Retail,"South Burlington, VT",https://www.target.com,7,Target Casual Summer Dress,Dress,81.86,https://www.target.com/s?searchTerm=Casual+Summer+Dress,https://placehold.co/600x800/EDE7FF/4F46E5?text=Target+Casual+Summer+Dress,4.0,3
1,Target,Big Box Retail,"South Burlington, VT",https://www.target.com,8,Target Athletic Shorts,Shorts,44.99,https://www.target.com/s?searchTerm=Athletic+Shorts,https://placehold.co/600x800/EDE7FF/4F46E5?text=Target+Athletic+Shorts,4.0,3
1,Target,Big Box Retail,"South Burlington, VT",https://www.target.com,9,Target Lightweight Jacket,Jacket,34.99,https://www.target.com/s?searchTerm=Lightweight+Jacket,https://placehold.co/600x800/EDE7FF/4F46E5?text=Target+Lightweight+Jacket,4.0,3
1,Target,Big Box Retail,"South Burlington, VT",https://www.target.com,10,Target Knit Sweater,Sweater,34.24,https://www.target.com/s?searchTerm=Knit+Sweater,https://placehold.co/600x800/EDE7FF/4F46E5?text=Target+Knit+Sweater,4.0,3
2,Walmart,Big Box Retail,"Williston, VT",https://www.walmart.com,11,Walmart Classic Cotton T-Shirt,T-Shirt,18.49,https://www.walmart.com/search?q=Classic+Cotton+T-Shirt,https://placehold.co/600x800/EDE7FF/4F46E5?text=Walmart+Classic+Cotton+T-Shirt,4.0,3
2,Walmart,Big Box Retail,"Williston, VT",https://www.walmart.com,12,Walmart Graphic Tee,T-Shirt,27.49,https://www.walmart.com/search?q=Graphic+Tee,https://placehold.co/600x800/EDE7FF/4F46E5?text=Walmart+Graphic+Tee,4.0,3
2,Walmart,Big Box Retail,"Williston, VT",https://www.walmart.com,13,Walmart Pullover Hoodie,Hoodie,58.74,https://www.walmart.com/search?q=Pullover+Hoodie,https://placehold.co/600x800/EDE7FF/4F46E5?text=Walmart+Pullover+Hoodie,4.0,3
2,Walmart,Big Box Retail,"Williston, VT",https://www.walmart.com,14,Walmart Crewneck Sweatshirt,Sweatshirt,59.99,https://www.walmart.com/search?q=Crewneck+Sweatshirt,https://placehold.co/600x800/EDE7FF/4F46E5?text=Walmart+Crewneck+Sweatshirt,4.0,3
2,Walmart,Big Box Retail,"Williston, VT",https://www.walmart.com,15,Walmart Straight-Leg Jeans,Jeans,37.49,https://www.walmart.com/search?q=Straight-Leg+Jeans,https://placehold.co/600x800/EDE7FF/4F46E5?text=Walmart+Straight-Leg+Jeans,4.0,3
